GRAND_ID,AREA_SKM,POLY_SRC,lon,lat,CRS,COMID,VPU
2040,5.3,SWBD,-69.09557834,46.04059651,WGS84,1698842,01
2042,4,SWBD,-70.21698549,45.93691478,WGS84,1703596,01
2043,25.1,SWBD,-69.84539753,45.9134942,WGS84,1702690,01
2044,110.3,SWBD,-69.34508191,45.98730641,WGS84,1702352,01
2045,6.4,SWBD,-70.03941958,45.84237101,WGS84,1703624,01
2046,6.4,SWBD,-69.11698319,45.82396931,WGS84,1702570,01
2047,9.9,SWBD,-69.37582406,45.82083719,WGS84,1702754,01
2048,34.4,SWBD,-68.79319496,45.75903529,WGS84,1700490,01
2049,12.3,SWBD,-69.37865628,45.65462779,WGS84,1022502,01
2050,63.3,SWBD,-67.79684001,45.71753679,WGS84,5194938,01
2051,29.1,SWBD,-69.87004724,45.66868003,WGS84,1022622,01
2052,6.9,SWBD,-67.84893941,45.61844582,WGS84,1981,01
2053,78.4,SWBD,-68.89133032,45.68016078,WGS84,1700614,01
2054,10,SWBD,-68.62844723,45.65311883,WGS84,1700570,01
2056,299.5,SWBD,-69.66139381,45.66541171,WGS84,1022600,01
2057,6.5,McGill,-68.46446864,45.58867501,WGS84,1731398,01
2058,68.1,SWBD,-67.58622845,45.60630467,WGS84,5194962,01
2059,12.7,SWBD,-69.80940354,45.52329849,WGS84,1022732,01
2062,9.5,SWBD,-69.84094741,45.30683392,WGS84,1025270,01
2063,27.5,SWBD,-68.92403492,45.37279665,WGS84,1719939,01
2064,70.8,SWBD,-67.62959122,45.20380662,WGS84,5196922,01
2065,24.8,SWBD,-69.27530777,45.2763684,WGS84,1723223,01
2066,4.4,SWBD,-70.074397,45.26254735,WGS84,3319780,01
2067,63.3,SWBD,-70.30607158,45.19768504,WGS84,1032575,01
2068,92,SWBD,-67.9057752,45.25377949,WGS84,5196444,01
2069,4.7,SWBD,-67.42842315,45.1952149,WGS84,5196826,01
2070,3.8,SWBD,-71.17223729,45.15503701,WGS84,4592351,01
2071,21.1,SWBD,-68.15130122,45.08157743,WGS84,1734104,01
2072,7.2,SWBD,-70.72149719,45.09474257,WGS84,19333337,01
2073,5.9,SWBD,-67.69737133,45.05872747,WGS84,5199630,01
2074,10.7,SWBD,-71.24891737,45.09266242,WGS84,4592381,01
2075,13.4,McGill,-69.95514559,45.13630225,WGS84,3319146,01
2076,6.4,SWBD,-71.32997067,45.04206511,WGS84,4592387,01
2077,26.7,SWBD,-67.38109006,45.07208007,WGS84,2674208,01
2078,163.3,GLWD,-74.97435462,44.95644133,WGS84,25293390,04
2079,25.5,SWBD,-70.69438556,44.945403399999996,WGS84,19333969,01
2080,25.7,SWBD,-70.99833801,45.01787384,WGS84,19333185,01
2081,12.5,SWBD,-67.41064898,44.94924716,WGS84,2677796,01
2083,14.7,SWBD,-69.51691815,44.92319355,WGS84,3321826,01
2084,59.5,SWBD,-70.8034798,44.91510697,WGS84,166421075,01
2085,17.9,SWBD,-69.24212622,44.85894681,WGS84,3321832,01
2086,2.1,McGill,-69.8736978,44.8377802,WGS84,3322008,01
2087,31.8,McGill,-71.04590078,44.76479554,WGS84,19334541,01
2088,28.8,SWBD,-70.88590838,44.83082516,WGS84,19334021,01
2089,7,SWBD,-73.81829167,44.74711586,WGS84,9521451,02
2090,3.9,McGill,-69.80782211,44.74540639,WGS84,3322190,01
2091,21,SWBD,-67.35806367,44.79221895,WGS84,2678024,01
2092,1.8,SWBD,-74.34399187,44.71406159,WGS84,25517320,04
2093,2.1,SWBD,-72.51952077,44.63099679,WGS84,4586708,02
2094,35.7,SWBD,-68.39794589,44.65557712,WGS84,2681322,01
2095,2.1,SWBD,-70.25077743,44.5968129,WGS84,3323572,01
2096,15.1,SWBD,-69.79479569,44.4742339,WGS84,3325372,01
2097,33.9,SWBD,-69.84448526,44.53755912,WGS84,3322528,01
2098,1.3,SWBD,-74.11354869,44.51845814,WGS84,9522561,02
2099,5.4,SWBD,-68.98661177,44.54869024,WGS84,2681542,01
2100,2.3,SWBD,-74.79036964,44.50881891,WGS84,15471561,04
2101,5.3,SWBD,-73.9386466,44.48410719,WGS84,9523085,02
2102,2.4,SWBD,-74.75575585,44.48231246,WGS84,15467489,04
2103,3.1,SWBD,-73.85694439,44.48521192,WGS84,9528423,02
2104,12.2,McGill,-74.73289198,44.40663309,WGS84,15471543,04
2105,2.8,SWBD,-70.68033697,44.39577806,WGS84,6712687,01
2106,2.8,SWBD,-72.75237684,44.3947419,WGS84,4578066,02
2108,1.3,SWBD,-72.28650687,44.35711537,WGS84,4578054,02
2110,7.9,SWBD,-73.97444469,44.32196387,WGS84,9528081,02
2111,20.9,SWBD,-69.92501783,44.26889864,WGS84,3325610,01
2112,18.4,SWBD,-74.32068144,44.29454994,WGS84,9524835,02
2113,26.5,SWBD,-74.5045506,44.19063967,WGS84,15467775,04
2114,2.4,SWBD,-69.55842379,44.21689607,WGS84,5203696,01
2115,24.6,SWBD,-74.83012271,44.16957294,WGS84,15490112,04
2118,10.9,McGill,-70.20030202,44.19676138,WGS84,6712559,01
2119,10.8,SWBD,-70.91022977,44.19452587,WGS84,9311219,01
2120,8.9,SWBD,-70.25230898,44.14686001,WGS84,6712583,01
2121,0.8,McGill,-74.66092785,44.11428445,WGS84,15467875,04
2122,17.6,SWBD,-69.48660758,44.14785585,WGS84,5204096,01
2123,4,SWBD,-70.93250421,44.00634012,WGS84,9311289,01
2124,23.6,SWBD,-70.64568674,44.02500413,WGS84,6719237,01
2125,4.7,SWBD,-74.57897547,43.90248776,WGS84,15469473,04
2126,118.7,SWBD,-70.54776814,43.85507624,WGS84,6722325,01
2127,113.4,SWBD,-73.58041284,43.60040421,WGS84,10312840,02
2128,2.8,SWBD,-71.0921259,43.80081317,WGS84,9316539,01
2129,16,SWBD,-74.32975472,43.68612484,WGS84,22306709,02
2130,26.8,SWBD,-71.52479276,43.75042769,WGS84,6731415,01
2131,2.5,SWBD,-72.91092679,43.73109494,WGS84,22221073,02
2132,4.3,SWBD,-74.92067883,43.71847938,WGS84,15511394,04
2133,6.2,SWBD,-73.70215252,43.71637601,WGS84,22304825,02
2134,21.9,GLWD,-73.77825895,43.77622708,WGS84,22304773,02
2135,3.3,McGill,-72.28175712,43.71103023,WGS84,9326986,01
2136,0.4,SWBD,-70.60656868,43.67530294,WGS84,9314521,01
2137,2.4,SWBD,-73.85689229,43.67782545,WGS84,22304869,02
2138,4.2,SWBD,-72.14732669,43.62726795,WGS84,166174544,01
2139,3.2,SWBD,-71.52423097,43.65838374,WGS84,166181875,01
2140,17.4,SWBD,-71.76799931,43.6597654,WGS84,6731531,01
2141,1.7,McGill,-71.6848687,43.60297349,WGS84,6730725,01
2142,4.2,SWBD,-74.98522843,43.59781395,WGS84,15511500,04
2143,1.4,SWBD,-70.56652683,43.5855895,WGS84,9314653,01
2144,6.5,SWBD,-70.97625893,43.58229675,WGS84,5842808,01
2145,181.8,McGill,-71.34570032,43.61585,WGS84,6738768,01
2146,3.1,SWBD,-70.86351027,43.52141602,WGS84,166174213,01
2147,16.8,SWBD,-71.51138307,43.53639139,WGS84,6738876,01
2148,4.7,SWBD,-71.15651674,43.48803299,WGS84,6741586,01
2149,13.5,McGill,-71.69413931,43.52682054,WGS84,6731703,01
2150,4.3,SWBD,-70.96919936,43.44206068,WGS84,5845740,01
2151,15.8,SWBD,-72.05408522,43.38053776,WGS84,9331274,01
2152,97.6,SWBD,-74.14684691,43.1701401,WGS84,22297368,02
2153,1.5,SWBD,-73.90141718,43.30621735,WGS84,22294820,02
2154,1.4,McGill,-73.7362773,43.25958398,WGS84,22288395,02
2155,0.4,McGill,-72.25126193,43.26788876,WGS84,9331458,01
2156,4.3,SWBD,-71.17991053,43.24737515,WGS84,5848528,01
2157,2.6,McGill,-73.77999306,43.23540628,WGS84,22288407,02
2158,1.8,McGill,-71.717008860000007,43.18009259,WGS84,6762054,01
2159,0.2,SWBD,-74.58087856,43.14713488,WGS84,22741455,02
2160,3.4,McGill,-72.44810594,43.17373793,WGS84,9331534,01
2161,1.9,SWBD,-71.954129,43.09827253,WGS84,6762108,01
2162,5.5,SWBD,-74.41134695,43.1144859,WGS84,22741463,02
2163,17,McGill,-73.73537196,43.02388316,WGS84,22288511,02
2164,2.5,SWBD,-71.14486932,43.08878689,WGS84,5848654,01
2165,10.2,McGill,-71.37242953,42.98751518,WGS84,6745614,01
2166,4.6,SWBD,-72.94371405,43.00172589,WGS84,10293600,01
2167,3,McGill,-73.65412312,42.93372961,WGS84,22290453,02
2168,6.5,SWBD,-73.54917307,42.84574294,WGS84,22290537,02
2169,2.2,McGill,-73.8610023,42.82194297,WGS84,22744315,02
2170,10.5,McGill,-73.77128733,42.79663432,WGS84,22744209,02
2171,5.2,SWBD,-72.8980518,42.82854268,WGS84,10295176,01
2172,4.7,GLWD,-72.51742472,42.78486999,WGS84,9332552,01
2173,2.4,SWBD,-71.99647328,42.71829461,WGS84,9342807,01
2174,16.3,SWBD,-74.89667097,42.76233591,WGS84,8084455,02
2175,2.9,McGill,-71.22217554,42.68260663,WGS84,6745530,01
2176,0.6,SWBD,-72.44128181,42.61352959,WGS84,6778571,01
2177,5.4,SWBD,-73.94686148,42.48097438,WGS84,6189064,02
2178,0.9,SWBD,-74.4542853,42.44478525,WGS84,3247586,02
2179,1.2,SWBD,-74.42714564,42.44507149,WGS84,3247622,02
2180,16.4,SWBD,-71.73401369,42.38048445,WGS84,6078827,01
2181,3.9,SWBD,-74.44111418,42.36858108,WGS84,3247602,02
2182,1.3,SWBD,-71.9192347,42.34645723,WGS84,6078903,01
2183,0.3,SWBD,-71.15796784,42.33514572,WGS84,5867717,01
2184,1.3,SWBD,-73.31806575,42.33601671,WGS84,7710352,01
2185,4.4,SWBD,-71.5145898,42.316584,WGS84,6773189,01
2186,96.1,SWBD,-72.3051654,42.39351236,WGS84,7691915,01
2187,1,SWBD,-73.80737422,42.29329061,WGS84,6189172,02
2188,0.9,SWBD,-72.88606224,42.27722347,WGS84,6097381,01
2189,1.4,SWBD,-72.78208764,42.22748732,WGS84,6782195,01
2190,3.7,SWBD,-73.04142272,42.1517994,WGS84,6107185,01
2191,4,SWBD,-72.91108927,42.13632305,WGS84,6097499,01
2192,19.7,SWBD,-74.86184929,42.08987098,WGS84,1748763,02
2193,0.8,McGill,-73.02597279,41.99685696,WGS84,6111463,01
2194,1.4,SWBD,-71.39876732,41.99795239,WGS84,6119244,01
2196,1.7,SWBD,-73.09110863,41.90586686,WGS84,6111197,01
2197,8.7,SWBD,-72.95315778,41.96241792,WGS84,6109523,01
2198,1,SWBD,-72.95828751,41.89458959,WGS84,6109563,01
2199,1.8,SWBD,-72.42743978,41.8842449,WGS84,7700920,01
2200,4.1,SWBD,-74.65683622,41.83834884,WGS84,166754161,02
2201,7.5,SWBD,-74.47057113,41.82518255,WGS84,6200400,02
