GRAND_ID,AREA_SKM,POLY_SRC,lon,lat,CRS,COMID
216,2.8,SWBD,-121.8288214,37.57975511,WGS84,2808651
217,3.7,SWBD,-122.3518581,37.51173882,WGS84,948050066
218,0.7,SWBD,-120.2976963,37.5204421,WGS84,21608729
219,5.2,SWBD,-121.8186133,37.47112107,WGS84,2811101
221,1.1,SWBD,-121.7798265,37.18263285,WGS84,17695927
222,3.9,SWBD,-121.6208409,37.17196289,WGS84,17695821
223,1.8,SWBD,-121.5392917,37.09659897,WGS84,17695829
224,0.4,SWBD,-122.0662286,37.11186402,WGS84,17682712
225,8.7,SWBD,-121.049146,37.08047548,WGS84,19770077
226,48.8,SWBD,-121.1204483,37.0580265,WGS84,16596591
227,0.9,SWBD,-121.7004679,37.07349032,WGS84,948060246
228,1.5,SWBD,-120.9445339,36.98507574,WGS84,16610547
229,1.7,SWBD,-120.8256111,36.38630269,WGS84,17673667
230,18.4,SWBD,-120.9642301,35.84288241,WGS84,8212917
231,15.9,SWBD,-120.9442969,35.7433568,WGS84,8212939
232,2,SWBD,-120.8743919,35.45555592,WGS84,8193833
233,1.8,SWBD,-120.4788254,35.32885351,WGS84,8214375
234,2.4,SWBD,-120.4769826,35.19664177,WGS84,8193713
289,2,McGill,-117.5946492,49.00042377,WGS84,23031644
290,0.9,SWBD,-117.3470249,48.97954676,WGS84,22994711
291,22.5,SWBD,-119.4370266,48.97763368,WGS84,23065359
292,3.9,SWBD,-113.570015,48.8179893,WGS84,9306654
293,11.3,SWBD,-109.9826157,48.64767755,WGS84,24584985
294,1.4,SWBD,-119.7509669,48.54492799,WGS84,23065221
295,14,SWBD,-107.55988,48.50039548,WGS84,12328481
296,2.9,SWBD,-113.2949907,48.50242947,WGS84,12535500
297,97.9,SWBD,-115.2423232,48.72413979,WGS84,22878497
298,2.7,SWBD,-112.7101549,48.35034553,WGS84,12539968
299,75.3,SWBD,-113.8005709,48.20270588,WGS84,22966888
300,65.2,SWBD,-111.2603057,48.34791065,WGS84,12643991
301,17.9,SWBD,-112.2639452,48.28648212,WGS84,12641877
302,7,SWBD,-118.3843329,48.27419161,WGS84,23034256
303,0.5,SWBD,-117.2940144,48.22412132,WGS84,22996943
304,11,SWBD,-114.6097561,48.20377065,WGS84,24338892
305,360.3,SWBD,-116.4372863,48.15663988,WGS84,24116177
306,0.9,SWBD,-112.8806146,48.15481069,WGS84,12540012
307,814.2,SWBD,-106.8013123,47.77124333,WGS84,12356443
308,11.8,SWBD,-112.4344447,47.94565648,WGS84,12744933
309,23.1,SWBD,-115.6760528,47.89354595,WGS84,22978550
310,269.2,SWBD,-118.3635999,48.14612271,WGS84,23033700
311,106.6,SWBD,-119.1913273,47.80646649,WGS84,23095922
312,1.6,SWBD,-114.7369031,47.94117963,WGS84,24356949
313,18.8,SWBD,-117.7055193,47.83773446,WGS84,23021770
314,4.5,SWBD,-117.1004832,47.77706334,WGS84,23015056
315,125.5,SWBD,-116.7964527,47.5322972,WGS84,24379111
316,486.6,SWBD,-114.1333031,47.88638607,WGS84,24338670
317,6,SWBD,-112.471224,47.68226359,WGS84,12395098
318,3.1,SWBD,-114.1536385,47.63640866,WGS84,24356529
319,3.9,SWBD,-112.7976646,47.60615501,WGS84,12395594
320,5.5,SWBD,-112.4487532,47.55746746,WGS84,12395644
321,0.9,SWBD,-114.216983,47.50406022,WGS84,24356419
322,2.1,SWBD,-112.5354406,47.47856917,WGS84,12401730
323,3.5,SWBD,-119.2536914,47.47580358,WGS84,23096846
324,4.2,SWBD,-114.118895,47.44232642,WGS84,24359325
325,0.5,SWBD,-113.9235494,47.26155672,WGS84,24356239
326,3.6,SWBD,-108.5497364,47.12001851,WGS84,12730765
327,23.3,SWBD,-119.3399814,47.13354113,WGS84,24406181
328,19.1,SWBD,-111.9578243,46.91848764,WGS84,3024728
329,60.7,SWBD,-119.3447104,47.01246456,WGS84,947020401
330,1.3,SWBD,-108.2501577,46.94054943,WGS84,12599323
331,1.3,SWBD,-112.7947268,46.79475089,WGS84,22912404
332,11.8,SWBD,-111.8338831,46.70100513,WGS84,3023074
333,1.4,SWBD,-119.0327071,46.70795194,WGS84,24416552
334,7.7,SWBD,-111.9318686,46.69622997,WGS84,3024920
335,0.3,SWBD,-119.0237758,46.67864093,WGS84,24416560
336,0.8,SWBD,-110.9261908,46.64050909,WGS84,12421531
337,0.7,SWBD,-110.7386842,46.62422577,WGS84,12422107
338,52,SWBD,-116.130579,46.65169936,WGS84,23630748
339,3.1,SWBD,-110.2783064,46.44294844,WGS84,12619330
340,6.9,SWBD,-109.4247325,46.34355374,WGS84,24675858
341,10.3,SWBD,-113.2919996,46.18522647,WGS84,24310411
