"site_name","lat","lon","NEP","PtoR","nyears"
"nwis_03302030",38.05423677,-85.8716296,-330.599716298924,0.214216580932332,1
"nwis_03302050",38.0478476,-85.8571848,-260.229808969633,0.20553317076256,1
"nwis_03321500",37.8583774,-87.4097294,-746.512914688019,0.20714940014271,1
"nwis_03346500",38.7236111,-87.6644444,-415.737918858007,0.469858390192469,1
"nwis_03353200",39.94642897,-86.2602702,-56.5144335636232,0.861867161516384,5
"nwis_03353420",39.8725833,-86.3615278,-80.2728409977423,0.693401864442175,1
"nwis_03374100",38.4897695,-87.55002269,-99.5615558266612,0.836379436209757,4
"nwis_03408500",36.3855167,-84.5547174,-101.307907605181,0.267188855649992,3
"nwis_03409500",36.38828757,-84.6301881,-136.335027514255,0.481447210321668,1
"nwis_03538830",36.06166667,-84.96138889,-200.207976650648,0.426444294815488,3
"nwis_03539778",36.1031293,-84.7182771,-18.0597774540294,0.866464333958099,2
"nwis_04027000",46.4866144,-90.696297,-134.886878711579,0.343638640318659,1
"nwis_04040000",46.7207742,-89.207086,-400.28669099311,0.324186812827762,1
"nwis_04059500",45.7549674,-87.2020793,-176.922940957744,0.58146141536611,2
"nwis_04067500",45.3258333,-87.6633333,-428.718666756773,0.669578087439219,3
"nwis_04087050",43.20667408,-88.0384231,-197.722446155884,0.373744843979584,5
"nwis_040871488",42.9897222,-87.9519444,-137.670881103844,0.726573417148768,1
"nwis_04101500",41.8292138,-86.2597325,-140.076999755851,0.679674955159581,3
"nwis_04108660",42.65085976,-86.106703,-30.2681739658797,0.959636584340699,5
"nwis_04119400",43.0241884,-86.0264354,140.58172176545,1.21674796741762,4
"nwis_04121944",43.43085818,-85.5955989,-250.358132721108,0.638258380432813,9
"nwis_04121970",43.43474558,-85.6653239,-682.28166928044,0.239354279846097,5
"nwis_04124000",44.43639239,-85.6986792,-192.02451357101,0.459574811188394,9
"nwis_04124200",44.3630596,-85.820905,-780.031916711579,0.054012150681671,5
"nwis_04125460",44.19334009,-85.7697863,-538.451801762664,0.281736688172857,9
"nwis_04125550",44.25944997,-85.94174209,-1093.91888518128,0.0916985423678181,7
"nwis_04136000",44.6769593,-84.2925146,-72.0590997068487,0.864600656599731,9
"nwis_04136500",44.66001385,-84.1311167,-627.878409399194,0.131160062339584,9
"nwis_04136900",44.61279117,-83.83776619,-325.444266377421,0.693030347989156,8
"nwis_04137005",44.56084749,-83.802764,-737.227186936773,0.113667030180415,3
"nwis_04137500",44.43640447,-83.4338609,-1083.1551710157,0.152520060843204,9
"nwis_04142000",44.0725203,-84.0199939,-34.8989034261533,0.900440517584898,4
"nwis_041482663",42.9419733,-83.8460698,-158.230236816604,0.650242841405492,1
"nwis_04166500",42.3730923,-83.2546513,-455.418850198918,0.230533465061836,5
"nwis_04174500",42.28698238,-83.7338296,-356.476062089718,0.65344098038329,2
"nwis_04176500",41.9606008,-83.53104619,-477.995407758858,0.618565867845193,5
"nwis_04195500",41.449496,-83.3613156,-4.14043059621702,0.989369460543371,1
"nwis_04199500",41.38199,-82.3168273,-21.8936152326448,0.935601659391677,1
"nwis_04200500",41.38032368,-82.10459279,-277.779104176961,0.523409820179591,1
"nwis_04208000",41.39533087,-81.6298478,-69.2229023081703,0.855264738083901,3
"nwis_04213500",42.4633333,-78.9341667,-207.990550618894,0.600110746963575,1
"nwis_04231600",43.1417222,-77.6163056,-593.918434421676,0.26000594839677,3
"nwis_04249000",43.45166667,-76.50527778,-260.13926469013,0.803954754955534,4
"nwis_05054000",46.861075,-96.7836924,-230.606244309887,0.438128633428174,1
"nwis_05057000",47.43277097,-98.0275954,-299.745472525941,0.39137402034288,2
"nwis_05406469",43.12527778,-89.635,-173.468723094616,0.571910923707535,2
"nwis_05406479",43.1147222,-89.6641667,-150.247429280569,0.774841232946123,2
"nwis_05406500",43.13416667,-89.7322222,-26.5346028402579,0.965711753927961,3
"nwis_05420500",41.78058635,-90.252073,-153.861107762108,0.799216854237955,1
"nwis_05435943",42.97694444,-89.5394444,-232.600506768758,0.62734579163989,9
"nwis_05435950",42.94916667,-89.5441667,-76.6298230459786,0.864889261371053,8
"nwis_05515500",41.38963889,-86.7061667,-199.794161851503,0.248961935710309,3
"nwis_05579630",40.4583333,-88.8775,-63.53155391532,0.805413804768958,1
"nwis_05599490",37.7583333,-89.3277778,-499.844751040971,0.116640945573555,1
"nwis_06711565",39.66498738,-105.004149,-46.5888566884854,0.946839298258237,9
"nwis_06818000",39.75325,-94.8568333,-388.871931055537,0.342990290178721,2
"nwis_06893300",38.9405621,-94.6713469,-112.46265804369,0.649965688160453,1
"nwis_06893350",38.9061111,-94.64,-52.9705214232621,0.60874113070175,1
"nwis_06893620",39.11194444,-94.4722222,-61.2435914842011,0.565107974646639,2
"nwis_06893820",39.0173611,-94.3872778,-58.8802771308122,0.566695184545361,7
"nwis_06893890",39.02556175,-94.3438385,-179.557671943034,0.280248454745748,3
"nwis_06893970",39.08833866,-94.3435605,-26.1920508966899,0.676618868577748,1
"nwis_06894000",39.1005609,-94.3005038,-41.1128322948758,0.452406008841142,7
"nwis_07048600",36.07305556,-94.0811111,-272.886272101095,0.386790598778884,2
"nwis_07061270",37.55255556,-90.8424444,-59.1843578284264,0.600072158870333,7
"nwis_07061290",37.4936111,-90.8383333,-331.855256926832,0.104745497793804,8
"nwis_07075250",35.54705,-92.7076667,-86.5409502574735,0.241638963279463,5
"nwis_07075270",35.5697222,-92.6219444,-88.5778930046673,0.198533959005235,1
"nwis_07109500",38.24805799,-104.3991356,-918.9398338833,0.422736104652241,7
"nwis_07143672",38.0286223,-97.540597,-110.670281522069,0.651617257461642,8
"nwis_07144100",37.88306739,-97.4244864,-64.6797840168256,0.871917179304999,7
"nwis_07164500",36.14064807,-96.0063866,157.527451511884,1.14422132719409,3
"nwis_07177500",36.27842534,-95.954162,-110.019540769959,0.44976845231894,4
"nwis_07178200",36.2231514,-95.8194322,-106.101792644921,0.348287828796266,6
"nwis_071912213",36.3225808,-94.6852238,-162.368659225585,0.702663558565844,9
"nwis_07191222",36.35535924,-94.7763388,-185.879653875031,0.499337105456475,6
"nwis_07239450",35.6169933,-98.0653316,-49.9671895228585,0.96996907815706,1
"nwis_07241550",35.5003412,-97.1939194,-50.4374491893124,0.96514734087022,2
"nwis_07263296",34.87888889,-92.6855556,-197.151793609406,0.16795464100262,2
"nwis_07332620",33.6822222,-95.9844444,-65.203346967819,0.565551794572137,2
"nwis_07332622",33.74416667,-95.9611111,-83.915989598917,0.421724186506034,4
"nwis_07374000",30.44566667,-91.1915556,-603.552848023789,0.305176151957855,5
"nwis_07381600",29.69281939,-91.2119368,-480.758545414495,0.380421690650475,1
"nwis_08049500",32.7625,-96.9944444,-212.691824120617,0.606925652479393,9
"nwis_08052700",33.28344977,-96.8927805,-63.0702396875265,0.333046283715223,6
"nwis_08052745",33.2192846,-96.8919475,-532.275365331714,0.137738757486274,4
"nwis_08057000",32.7748517,-96.8219464,-132.910606289389,0.547032995511865,1
"nwis_08057410",32.70763139,-96.7358319,-125.82457824995,0.567676030521947,1
"nwis_08062500",32.42652988,-96.4630415,-156.849006741929,0.518498394178197,2
"nwis_08065350",31.33851319,-95.6563407,-441.634840756336,0.367714803634963,3
"nwis_08068000",30.24465738,-95.4571616,-206.478470455476,0.458512377019978,3
"nwis_08068500",30.11049517,-95.4363275,-176.184786009068,0.543615988125804,6
"nwis_08070200",30.1454932,-95.1243756,-133.694556409877,0.362069064898282,9
"nwis_08171290",30.00555556,-97.9525,-51.2566434941674,0.95539564795621,2
"nwis_08180700",29.33495798,-98.689744,-378.70097980761,0.495644318483464,5
"nwis_08181500",29.2641276,-98.4908493,-245.958364710122,0.472592144334279,9
